PAGE,KEY,EN,PT,DE,FR,PL,STATUS
,,,,,,
LANDING,title,casa amani,casa amani,casa amani,casa amani,casa amani,Done
LANDING,subtitle,ARCO DA CALHETA MADEIRA,ARCO DA CALHETA MADEIRA,ARCO DA CALHETA MADEIRA,ARCO DA CALHETA MADEIRA,ARCO DA CALHETA MADEIRA,Done
LANDING,intro,"Above the village, a house. The Atlantic in front, the laurel behind. The light is clear, the days slow. Windows open. Birds singing. The pool, the sun, the afternoon. Made for slow stays on Madeira's quiet side.",,,,,"Translating, agent in progress"
LANDING,cta,STAY WITH US,FIQUE CONNOSCO,BEI UNS WOHNEN,SÉJOURNEZ CHEZ NOUS,ZAMIESZKAJ Z NAMI,Done
HEADER,menu,MENU,MENU,MENÜ,MENU,MENU,Done
,,,,,,
TAGLINE,heading,"your home, briefly.","a sua casa, por uns dias.","Ihr Zuhause, auf Zeit.","chez vous, le temps d'un séjour.","Twój dom, na chwilę.",Done
TAGLINE,subheading,"made to be lived in slowly, on Madeira's sunny side.","feita para ser vivida devagar, no lado soalheiro da Madeira.","Gemacht, um langsam gelebt zu werden, auf Madeiras Sonnenseite.","faite pour être vécue lentement, du côté ensoleillé de Madère.","stworzona, by żyć w niej powoli, po słonecznej stronie Madery.",Done
,,,,,,
HOUSE,title,the house,a casa,das Haus,la maison,dom,Done
HOUSE,features,2 bedrooms · 3 bathrooms · 219 m² · atlantic-facing · heated pool,2 quartos · 3 casas de banho · 219 m² · virada para o Atlântico · piscina aquecida,2 Schlafzimmer · 3 Badezimmer · 219 m² · Atlantikblick · beheizbarer Pool,2 chambres · 3 salles de bain · 219 m² · face à l'Atlantique · piscine chauffée,2 sypialnie · 3 łazienki · 219 m² · widok na Atlantyk · podgrzewany basen,Done
HOUSE,features2,workspaces · fibre wifi · outdoor dining & barbecue · garage for 2 cars,espaços de trabalho · fibra óptica · refeições ao ar livre e churrasqueira · garagem para 2 carros,Arbeitsplätze · Glasfaser-WLAN · Außenküche mit Grill · Garage für 2 Autos,espaces de travail · fibre optique · repas en plein air et barbecue · garage pour 2 voitures,przestrzenie do pracy · światłowód · jadalnia na świeżym powietrzu i grill · garaż na 2 samochody,Done
,,,,,,
STAYS INCLUDE,page.title,All stays include,,,,,"Translating, agent in progress"
STAYS INCLUDE,item1,"Bed linens, bath towels, hand towels, pool towels and beach towels",,,,,"Translating, agent in progress"
STAYS INCLUDE,item2,Pre-arrival cleaning and weekly housekeeping,,,,,"Translating, agent in progress"
STAYS INCLUDE,item3,Mid-stay linen and towel change for stays over seven nights,,,,,"Translating, agent in progress"
STAYS INCLUDE,item4,Weekly pool maintenance and garden upkeep,,,,,"Translating, agent in progress"
STAYS INCLUDE,item5,"Starter pack: coffee capsules, sugar, dishwashing supplies, laundry tablets, garbage bags, hand soap, toilet paper",,,,,"Translating, agent in progress"
STAYS INCLUDE,item6,"Self check-in via smart lock, with access codes shared 48 hours before arrival",,,,,"Translating, agent in progress"
STAYS INCLUDE,item7,Welcome booklet in four languages,,,,,"Translating, agent in progress"
STAYS INCLUDE,item8,24-hour guest assistance line,,,,,"Translating, agent in progress"
,,,,,,
AMENITIES,page.title,Amenities,,,,,"Translating, agent in progress"
AMENITIES,item1,Two bedrooms with desks; external monitor in the guest bedroom,,,,,"Translating, agent in progress"
AMENITIES,item2,Three bathrooms; en-suite to the main bedroom,,,,,"Translating, agent in progress"
AMENITIES,item3,"Heated 7-metre pool with sea view",,,,,"Translating, agent in progress"
AMENITIES,item4,Outdoor dining area with gas barbecue,,,,,"Translating, agent in progress"
AMENITIES,item5,Open-plan living facing the Atlantic,,,,,"Translating, agent in progress"
AMENITIES,item6,"Fully equipped kitchen: induction hob, oven, microwave, dishwasher, espresso machine, toaster, kettle",,,,,"Translating, agent in progress"
AMENITIES,item7,"Smart TV with Netflix, Bluetooth speaker and stereo system",,,,,"Translating, agent in progress"
AMENITIES,item8,Fibre Wi-Fi throughout the house and terrace,,,,,"Translating, agent in progress"
AMENITIES,item9,Air conditioning in every room (cooling and heating),,,,,"Translating, agent in progress"
AMENITIES,item10,Washing machine and tumble dryer,,,,,"Translating, agent in progress"
